,Food Types,Total Reviews
0,Chinese,22587
1,Mexican,31188
2,French,12027
3,Japanese,27423
4,Mediterranean,6677
5,American,38136
6,Italian,23030
7,Korean,33317
8,Thai,30880
9,Indian,5131
