,Food Types,Total Reviews
0,Chinese,29278
1,Mexican,18554
2,French,20212
3,Japanese,14841
4,Mediterranean,16339
5,American,18599
6,Italian,23177
7,Korean,17226
8,Thai,18811
9,Indian,11840
