,Food Types,Total Reviews
0,Chinese,20820
1,Mexican,27635
2,French,55636
3,Japanese,23806
4,Mediterranean,24170
5,American,32864
6,Italian,32672
7,Korean,27413
8,Thai,32076
9,Indian,25616
