,Food Types,Total Reviews
0,Chinese,241953
1,Mexican,285001
2,French,354283
3,Japanese,237325
4,Mediterranean,167267
5,American,367090
6,Italian,359288
7,Korean,235458
8,Thai,251517
9,Indian,177112
