,Food Types,Total Reviews
0,Chinese,29669
1,Mexican,22165
2,French,48568
3,Japanese,25849
4,Mediterranean,21692
5,American,40787
6,Italian,42596
7,Korean,25858
8,Thai,26644
9,Indian,24724
