,Food Types,Total Reviews
0,Chinese,18582
1,Mexican,34503
2,French,34639
3,Japanese,16590
4,Mediterranean,18276
5,American,32310
6,Italian,33737
7,Korean,20358
8,Thai,20786
9,Indian,20450
