,Food Types,Total Reviews
0,Chinese,29592
1,Mexican,28352
2,French,12820
3,Japanese,27368
4,Mediterranean,8283
5,American,46760
6,Italian,45010
7,Korean,24142
8,Thai,27475
9,Indian,4816
