,Food Types,Total Reviews
0,Chinese,30437
1,Mexican,19968
2,French,52402
3,Japanese,30596
4,Mediterranean,22189
5,American,34229
6,Italian,39708
7,Korean,22092
8,Thai,27691
9,Indian,26653
