,Food Types,Total Reviews
0,Chinese,19585
1,Mexican,38955
2,French,55325
3,Japanese,19867
4,Mediterranean,26614
5,American,40350
6,Italian,36031
7,Korean,17727
8,Thai,25290
9,Indian,27840
