,Food Types,Total Reviews
0,Chinese,26879
1,Mexican,24818
2,French,36751
3,Japanese,28016
4,Mediterranean,19487
5,American,40003
6,Italian,46842
7,Korean,23642
8,Thai,28297
9,Indian,24529
